policy,seed,episode_return,success,steps,action_energy,max_position,final_position
random,2038,-32.209653678658164,False,999,322.0965367865811,-0.1417422592639923,-0.6933470368385315
random,2039,-34.41813836029221,False,999,344.1813836029221,-0.23007306456565857,-0.5749697685241699
random,2040,-31.49165239076142,False,999,314.916523907614,-0.09276072680950165,-0.538301408290863
random,2041,-33.7422257237352,False,999,337.42225723735186,-0.024978524073958397,-0.6376613974571228
random,2042,-32.625499312499706,False,999,326.2549931249964,-0.1536061018705368,-0.6217460036277771
random,2043,-33.930045622707105,False,999,339.3004562270708,-0.27688413858413696,-0.47388699650764465
random,2044,-32.61026061125968,False,999,326.1026061125968,-0.31636151671409607,-0.6506280303001404
random,2045,-32.861414733965,False,999,328.61414733964995,-0.26374298334121704,-0.5202546119689941
random,2046,-34.7619674556069,False,999,347.61967455607,0.19041122496128082,-0.7024520635604858
random,2047,-32.79711225312978,False,999,327.97112253129745,-0.0313858836889267,-0.19926020503044128
random,2048,-32.608567950808016,False,999,326.08567950807947,-0.09615014493465424,-0.49605026841163635
random,2049,-32.85245137398195,False,999,328.524513739819,-0.3546210527420044,-0.5244390964508057
random,2050,-35.22529112786678,False,999,352.2529112786678,0.11820798367261887,-0.4848427474498749
random,2051,-32.91968440329371,False,999,329.19684403293655,-0.23291805386543274,-0.30849364399909973
random,2052,-32.923925976313505,False,999,329.23925976313575,-0.1803853064775467,-0.38224172592163086
random,2053,-34.73270626119065,False,999,347.32706261190623,-0.3058384358882904,-0.36196279525756836
random,2054,-34.29434561300431,False,999,342.9434561300437,-0.37752074003219604,-0.6501442193984985
random,2055,-34.042480535145515,False,999,340.42480535145444,-0.24675112962722778,-0.6166260838508606
random,2056,-33.65714371648601,False,999,336.5714371648599,-0.18008682131767273,-0.39200788736343384
random,2057,-32.308447991322616,False,999,323.08447991322595,-0.0871199294924736,-0.2497766762971878
random,2058,-32.85642421683394,False,999,328.56424216833835,0.11694282293319702,-0.8999435305595398
random,2059,-33.27574555179782,False,999,332.757455517978,-0.15065933763980865,-0.6971583962440491
random,2060,-34.55117008201331,False,999,345.5117008201335,0.27576300501823425,-0.05888091027736664
random,2061,-33.52638355938368,False,999,335.2638355938379,-0.03406091406941414,-0.9419150948524475
random,2062,-35.65915212485497,False,999,356.5915212485499,-0.27291950583457947,-0.7555983066558838
random,2063,-34.825653566411454,False,999,348.2565356641144,-0.26935896277427673,-0.5705162286758423
random,2064,-34.23565083805816,False,999,342.35650838058183,-0.06371018290519714,-0.5601499080657959
random,2065,-33.662336655965284,False,999,336.6233665596532,-0.380151629447937,-0.4847524166107178
random,2066,-32.84079522019068,False,999,328.4079522019067,0.13167086243629456,-0.13486012816429138
random,2067,-32.267140876785234,False,999,322.67140876785254,-0.2464749962091446,-0.5528237223625183
random,2068,-31.932596682690605,False,999,319.3259668269059,-0.3052535355091095,-0.4648175537586212
random,2069,-32.828082333308096,False,999,328.28082333308066,-0.04573587328195572,-0.8443977236747742
random,2070,-32.86620560107656,False,999,328.66205601076547,-0.07336054742336273,-0.9053104519844055
random,2071,-32.76885789275223,False,999,327.68857892752226,0.03229193389415741,-1.0584040880203247
random,2072,-33.450212564950576,False,999,334.50212564950607,-0.2507469654083252,-0.5659986734390259
random,2073,-32.99253017183517,False,999,329.92530171835244,-0.09471731632947922,-0.1500733196735382
random,2074,-33.77595035782028,False,999,337.75950357820267,-0.14204247295856476,-0.7892239093780518
